2016-07-24T21:18:30	33.770138	-118.622818	47.5569128188	215.122375	63.7292500001	11.83
2016-07-24T21:18:31	33.7701307652	-118.622811632	47.5374743873	215.157375	63.7392500001	11.83
2016-07-24T21:18:32	33.7701244173	-118.622805779	47.495515936	215.011068688	63.6971370889	11.83
2016-07-24T21:18:33	33.7701189616	-118.622800465	47.4632304426	214.810647496	63.640090996	11.83
2016-07-24T21:18:34	33.7701144033	-118.622795714	47.4362826609	214.989542157	63.6924762405	11.8344385548
2016-07-24T21:18:35	33.7701107477	-118.622791551	47.4364356162	215.216580557	63.7588785835	11.8399588672
2016-07-24T21:18:36	33.770108	-118.622788	47.4232097723	215.208259739	63.7594008253	11.84
2016-07-24T21:18:37	33.7701062511	-118.622784864	47.422575	215.197231831	63.7590985819	11.84
2016-07-24T21:18:38	33.7701054915	-118.622781925	47.422575	215.263912456	63.7794778024	11.84
2016-07-24T21:18:39	33.7701055757	-118.622779179	47.3969128384	215.328063075	63.7993157189	11.84
2016-07-24T21:18:40	33.7701063586	-118.62277662	47.39519	215.302054474	63.7909613045	11.84
2016-07-24T21:18:41	33.7701076948	-118.622774243	47.3791509427	215.268147002	63.7794091173	11.84
2016-07-24T21:18:42	33.770109439	-118.622772043	47.4084895823	215.328116894	63.7992768558	11.84
2016-07-24T21:18:43	33.770111446	-118.622770014	47.4190330275	215.388548311	63.8195151368	11.84
2016-07-24T21:18:44	33.7701135703	-118.622768152	47.4056997429	215.403875	63.8246250001	11.84
2016-07-24T21:18:45	33.7701156668	-118.62276645	47.4000626503	215.418875	63.8296250001	11.84
2016-07-24T21:18:46	33.7701175902	-118.622764904	47.3790572936	215.433875	63.8346250001	11.84
2016-07-24T21:18:47	33.7701191951	-118.622763509	47.3684104454	215.448875	63.8396250001	11.84
2016-07-24T21:18:48	33.7701203362	-118.622762259	47.3616771902	215.582495741	63.8818246346	11.84
2016-07-24T21:18:49	33.7701208682	-118.622761148	47.3386476645	215.790484377	63.9470424077	11.84
2016-07-24T21:18:50	33.770120646	-118.622760172	47.3093741758	215.871283246	63.9716304868	11.84
2016-07-24T21:18:51	33.770119524	-118.622759326	47.2702330179	215.872746213	63.9709422704	11.84
2016-07-24T21:18:52	33.7701173571	-118.622758604	47.251419	215.691202438	63.9131741656	11.84
2016-07-24T21:18:53	33.770114	-118.622758	47.2446950465	215.491554222	63.8504574999	11.84
2016-07-24T21:18:54	33.7701097244	-118.622758042	47.2381104427	215.575303512	63.8769762525	11.84
2016-07-24T21:18:55	33.7701049935	-118.622759029	47.2248863636	215.679620888	63.9098574239	11.84
2016-07-24T21:18:56	33.7700999494	-118.622760616	47.2125738462	215.670442285	63.9076517044	11.8444385548
2016-07-24T21:18:57	33.7700947341	-118.622762459	47.2053498087	215.643097388	63.9007897772	11.8499588672
2016-07-24T21:18:58	33.7700894895	-118.622764214	47.2060230928	215.584836032	63.8860887465	11.85
2016-07-24T21:18:59	33.7700843576	-118.622765536	47.1943398195	215.523231066	63.8707888768	11.85
2016-07-24T21:19:00	33.7700794804	-118.622766079	47.2076633312	215.520018517	63.8716060299	11.85
2016-07-24T21:19:01	33.770075	-118.6227655	47.2204253394	215.574915761	63.8885011418	11.85
2016-07-24T21:19:02	33.7700706935	-118.622763756	47.217188	215.751732905	63.9374310998	11.85
2016-07-24T21:19:03	33.7700662947	-118.622761173	47.203634937	215.936819849	63.9889481898	11.85
2016-07-24T21:19:04	33.7700618804	-118.622757962	47.1939457654	215.866444273	63.9686632098	11.85
2016-07-24T21:19:05	33.7700575274	-118.622754332	47.2056477917	215.769177628	63.9396908812	11.85
2016-07-24T21:19:06	33.7700533126	-118.622750493	47.182957	215.793296664	63.94947609	11.85
2016-07-24T21:19:07	33.7700493128	-118.622746655	47.182957	215.818331814	63.959487294	11.85
2016-07-24T21:19:08	33.7700456048	-118.622743027	47.1585500086	215.839693995	63.9656015022	11.85
2016-07-24T21:19:09	33.7700422655	-118.622739818	47.1264263317	215.85872368	63.9698051366	11.85
2016-07-24T21:19:10	33.7700393716	-118.62273724	47.1141628179	215.815501999	63.9597622268	11.85
2016-07-24T21:19:11	33.770037	-118.6227355	47.1143341709	215.759072897	63.9494861943	11.85
2016-07-24T21:19:12	33.770035338	-118.622734393	47.1010151047	215.816391621	63.9631805744	11.85
2016-07-24T21:19:13	33.7700344153	-118.622733526	47.0872012462	215.887520573	63.9791594615	11.85
2016-07-24T21:19:14	33.7700340724	-118.622732831	47.0998721325	215.908518337	63.9892521312	11.85
2016-07-24T21:19:15	33.7700341496	-118.622732238	47.0947129428	215.92780301	63.9991935239	11.85
2016-07-24T21:19:16	33.7700344874	-118.62273168	47.074331951	215.96896552	64.0124680791	11.85
2016-07-24T21:19:17	33.7700349262	-118.622731088	47.0769923008	216.025590951	64.0287739416	11.85
2016-07-24T21:19:18	33.7700353064	-118.622730392	47.0867624957	216.157644666	64.0635985321	11.85
2016-07-24T21:19:19	33.7700354685	-118.622729525	47.1208870506	216.287949205	64.099177849	11.85
2016-07-24T21:19:20	33.7700352529	-118.622728417	47.115773168	216.222340359	64.0819516937	11.85
2016-07-24T21:19:21	33.7700345	-118.622727	47.100802	216.113152574	64.0508073477	11.85
2016-07-24T21:19:22	33.7700333066	-118.622725353	47.100802	216.09519859	64.0495900135	11.85
2016-07-24T21:19:23	33.7700319143	-118.622723616	47.1536228811	216.082305203	64.0505197706	11.85
2016-07-24T21:19:24	33.7700303804	-118.622721814	47.2915429507	215.995610538	64.0224346694	11.85
