2016-07-24T21:53:39	33.766778758	-118.619934409	825.956099993	5.1714783291
2016-07-24T21:53:40	33.7667794912	-118.61993441	825.824208156	5.17279827827
2016-07-24T21:53:41	33.7667801057	-118.619934418	825.744932231	5.16850292276
2016-07-24T21:53:42	33.7667805278	-118.619934436	825.645327641	5.16769668062
2016-07-24T21:53:43	33.7667806839	-118.619934462	825.526939291	5.16819824647
2016-07-24T21:53:44	33.7667805	-118.6199345	825.419713226	5.16578730196
2016-07-24T21:53:45	33.7667792199	-118.619934543	825.319992624	5.165
2016-07-24T21:53:46	33.7667763873	-118.619934587	825.216307199	5.1657052787
2016-07-24T21:53:47	33.7667723785	-118.619934631	825.120820774	5.16520322577
2016-07-24T21:53:48	33.7667675699	-118.619934677	825.021855513	5.16750823133
2016-07-24T21:53:49	33.766762338	-118.619934724	824.907630062	5.16760170721
2016-07-24T21:53:50	33.766757059	-118.619934773	824.810880383	5.16809648421
2016-07-24T21:53:51	33.7667521093	-118.619934825	824.689423831	5.16750318155
2016-07-24T21:53:52	33.7667478654	-118.61993488	824.58430176	5.1682
2016-07-24T21:53:53	33.7667447035	-118.619934938	824.509061739	5.16830288227
2016-07-24T21:53:54	33.766743	-118.619935	824.423102976	5.1685
2016-07-24T21:53:55	33.7667421745	-118.619935076	824.298547697	5.16889975324
2016-07-24T21:53:56	33.7667414006	-118.619935173	824.191876469	5.16880952369
2016-07-24T21:53:57	33.7667406862	-118.61993529	824.065766584	5.17278412718
2016-07-24T21:53:58	33.7667400389	-118.619935424	823.966313816	5.16859331261
2016-07-24T21:53:59	33.7667394666	-118.619935575	823.859962664	5.16539677667
2016-07-24T21:54:00	33.7667389769	-118.619935739	823.747044521	5.17199915212
2016-07-24T21:54:01	33.7667385777	-118.619935916	823.602327983	5.1695
2016-07-24T21:54:02	33.7667382766	-118.619936103	823.477429926	5.16959989768
2016-07-24T21:54:03	33.7667380815	-118.619936298	823.432435139	5.16790213373
2016-07-24T21:54:04	33.766738	-118.6199365	823.458555032	5.1677
2016-07-24T21:54:05	33.7667379717	-118.619936766	823.46666632	5.1678
2016-07-24T21:54:06	33.7667379348	-118.61993714	823.459508119	5.16770317456
2016-07-24T21:54:07	33.7667378949	-118.619937595	823.439387769	5.16830321942
2016-07-24T21:54:08	33.7667378575	-118.619938109	823.413717186	5.16960490465
2016-07-24T21:54:09	33.7667378282	-118.619938654	823.377810991	5.1693
2016-07-24T21:54:10	33.7667378127	-118.619939207	823.333596841	5.16940146253
2016-07-24T21:54:11	33.7667378165	-118.619939743	823.306409881	5.1695
2016-07-24T21:54:12	33.7667378452	-118.619940237	823.261055763	5.17010153815
2016-07-24T21:54:13	33.7667379046	-118.619940665	823.208634834	5.17089682543
2016-07-24T21:54:14	33.766738	-118.619941	823.128942376	5.17059682544
2016-07-24T21:54:15	33.7667381301	-118.619941249	823.04936092	5.17030336521
2016-07-24T21:54:16	33.7667382845	-118.619941436	822.961924576	5.17029973676
2016-07-24T21:54:17	33.7667384558	-118.619941563	822.882478768	5.17080004536
2016-07-24T21:54:18	33.7667386366	-118.619941632	822.782805178	5.16990327584
2016-07-24T21:54:19	33.7667388192	-118.619941648	822.663324722	5.17038946167
2016-07-24T21:54:20	33.7667389964	-118.619941611	822.52976455	5.16910673043
2016-07-24T21:54:21	33.7667391605	-118.619941525	822.409527992	5.17001207398
2016-07-24T21:54:22	33.7667393041	-118.619941393	822.303120286	5.17048882822
2016-07-24T21:54:23	33.7667394198	-118.619941217	822.183764713	5.16880029594
2016-07-24T21:54:24	33.7667395	-118.619941	822.069723375	5.1688
2016-07-24T21:54:25	33.7667395554	-118.619940687	821.945121382	5.16920319899
2016-07-24T21:54:26	33.7667396008	-118.619940243	821.834021879	5.1699
2016-07-24T21:54:27	33.7667396355	-118.619939702	821.704425417	5.17090321514
2016-07-24T21:54:28	33.7667396584	-118.619939097	821.577122423	5.1713
2016-07-24T21:54:29	33.7667396687	-118.619938461	821.460308422	5.17190609954
2016-07-24T21:54:30	33.7667396656	-118.619937829	821.348274828	5.172
2016-07-24T21:54:31	33.766739648	-118.619937233	821.234612464	5.17060324511
2016-07-24T21:54:32	33.7667396152	-118.619936708	821.094890567	5.17059682544
2016-07-24T21:54:33	33.7667395662	-118.619936285	820.969075464	5.17079923405
2016-07-24T21:54:34	33.7667395	-118.619936	820.833570169	5.17029822768
2016-07-24T21:54:35	33.7667394173	-118.619935821	820.701929691	5.17109980164
2016-07-24T21:54:36	33.7667393213	-118.619935693	820.569019835	5.17009970406
2016-07-24T21:54:37	33.7667392158	-118.619935613	820.429556181	5.1694
2016-07-24T21:54:38	33.766739104	-118.619935574	820.270265786	5.17470092814
2016-07-24T21:54:39	33.7667389896	-118.619935574	820.124237666	5.17268095262
2016-07-24T21:54:40	33.766738876	-118.619935609	819.957409725	5.17049856962
2016-07-24T21:54:41	33.7667387668	-118.619935672	819.818155892	5.17040336521
2016-07-24T21:54:42	33.7667386653	-118.619935762	819.681422928	5.16860317456
2016-07-24T21:54:43	33.7667385753	-118.619935872	819.549573459	5.16960326918
2016-07-24T21:54:44	33.7667385	-118.619936	819.413067041	5.1692968481
2016-07-24T21:54:45	33.7667384354	-118.61993619	819.278589876	5.17019827686
2016-07-24T21:54:46	33.7667383747	-118.619936474	819.14595144	5.1685
2016-07-24T21:54:47	33.7667383176	-118.619936831	819.012116441	5.16889841189
2016-07-24T21:54:48	33.766738264	-118.619937239	818.902357402	5.16870570172
2016-07-24T21:54:49	33.7667382135	-118.619937675	818.786609376	5.1679983996
